PMUI_RemapBindings|DynamicDetails_KeyboardInputAction
ST_Armor|ChampionCuirassDesc
ST_Armor|SovereignSentryCuriassDesc
ST_Trinkets|FontOfConviction
ST_Trinkets|MartyrsGift
ST_Vendors|ShoreditchWalltower_Discover
ST_Armor|WatchmansOathGreaves
ST_Armor|EpochHelmet
ST_Armor|CovenantClericGauntlets
ST_Armor|TelvaughtExcoriatorCuirassDesc
ST_Trinkets|PurgingFire
ST_Weapons|ReaperPoleaxe
ST_Trinkets|JudgementsMark
ST_Weapons|TarnishedBroadsword
ST_Armor|HexKnightGauntlets
ST_Armor|RuinedBelwayneGreaves
ST_Armor|BelwayneKnightHelmet
ST_Trinkets|OnAPaleHorse_Title
ST_Armor|MidnightOathHelmet
ST_Vendors|RecallPrologue
ST_QuestItems|QI_HolyWater
ST_Consumables|HolyFireElixirDesc
ST_Armor|FelWhiteAvianHelmet
ST_Consumables|CrusadersMightElixirDesc
ST_Armor|DivineOathGauntlets
ST_Armor|SirCamdensHelmet
ST_Trinkets|HuntersStrike_Title
ST_Vendors|BlacksmithBuySpecialOffers
ST_Consumables|PoisonedThrowingKnifeName
ST_Armor|MoonlightOathCuirass
ST_Vendors|QuestTopic
ST_Trinkets|ConsecratedDraught_Title
ST_Weapons|Scirax
ST_Trinkets|MomentumCharge_Title
ST_Armor|SancutsZealotCuriass
ST_BoonDescriptions|AshenVerdictDesc_Dynamic
ST_BoonDescriptions|RelentlessMomentumDesc_Dynamic
ST_BoonDescriptions|HeavenfireBurstDesc_Dynamic
ST_BoonDescriptions|Sanguimancer_Dynamic
ST_BoonDescriptions|BrewmasterDesc_Dynamic
ST_WeaponArts|FlashHealName
ST_BoonDescriptions|OathswornReturnDesc
ST_Boons|ZealOfTheFaithful
ST_Boons|SanctifiedRhythm
ST_BoonDescriptions|ChaliceOfConquestDesc
ST_BoonDescriptions|CrushingRebukeDesc
ST_BoonDescriptions|AscendantAurasDesc_Dynamic
ST_WeaponArts|HealingAuraName
ST_BoonDescriptions|SoulboundSorceryDesc
ST_Boons|AscendantAuras
ST_WeaponArts|PoisonCaltropName
ST_BoonDescriptions|OathboundArtsDesc
ST_Boons|Trinkets
ST_Boons|BlessedMomentum
ST_WeaponArts|FireTrailName
ST_InformationScrollData|Story_ScoutNote2_TextBody
ST_InformationScrollData|Tutorial_Angel1_TextBody
ST_InformationScrollData|Hublore_Transmitorium1_TextBody
ST_InformationScrollData|Story_PropertySiezure_TextBody
ST_InformationScrollData|Story_Nightmare1_TextBody
ST_WarTable|RewardsEarned
ST_InformationScrollData|Hublore_Librarian1_TextBody
ST_WarTable|W4_FB1_Title
ST_WarTable|W1_D2_Description
ST_Quests|EQMT_Name
ST_Objectives|SQBEDT_Objective_Topic
ST_Quests|MQBITF_Name
ST_Objectives|SQTLC_Objective_Short
ST_InformationScrollData|Hublore_AbraxasStones_ScoutText
ST_Quests|SQTEABL_Desc
ST_Quests|SQBKT_Name
ST_Objectives|SQST_Objective_3_Full
ST_Quests|SQLOP_Name
ST_InformationScrollData|Tutorial_WeaponArts1_ScoutText
ST_Objectives|SQBB_QuestTopic_3
ST_Quests|SQKC_Desc
ST_Objectives|SQST_III_Objective_2_Full
ST_Objectives|SQBCFA3S
ST_WarTable|AE_Description
ST_Quests|SQUHY_Name
ST_Objectives|MQPE1_Objective_4_Full
ST_WarTable|W1_Description
ST_Objectives|SQBCV3S_Objective_Full
ST_Quests|SQMW_Name
ST_Quests|SecularArchivistName
ST_LoreNotes|MALS_3_Body
ST_LoreNotes|LALS_2_Body
ST_LoreNotes|DRLS_1_BodyText
ST_LoreNotes|SPLS_7_SubHead
ST_LoreNotes|SPLS_5_Title
ST_LoreNotes|GRLS_1_SubText
ST_LoreNotes|FSLS_2_Title
ST_LoreNotes|DRLS_1_SubHead
ST_LoreNotes|RKLS_1_SubHead
ST_LoreNotes|GRLS_3_Body
Verbals/VC_VerbalsNPC_Merchant|9E8F16C6456E7A7B34991389B6F1CD2F
Verbals/VC_VerbalsNPC_Merchant|B51D76864B6B7939F4B1F9A08A3C4176
Verbals/VC_VerbalsNPC_Merchant|D7FD533A4833AE373C31AEAD5B6334F5
Verbals/VC_VerbalsNPC_Merchant|180EC69942CA18369D0FBABF78F5B4B7
Verbals/VC_VerbalsNPC_Merchant|0F0EC14E464B4AABA8CE8A9C11F199D5
Verbals/VC_VerbalsNPC_Merchant|F33862FE4D922FE22147D99E6B50E644
Verbals/VC_VerbalsNPC_Merchant|06BDD24849D0555165FD0D9345713C8A
Verbals/VC_VerbalsNPC_Merchant|EBFAF1A345D8511A1BA878A0E5265DCE
Verbals/VC_VerbalsNPC_Merchant|516DAD62404EDB7CFB9482888844D0C9
Verbals/VC_VerbalsNPC_Merchant|4B72B33746C58DF4AA8A3DA9B0424BFF
Verbals/VC_VerbalsNPC_Merchant|77E571CE49B45DCAB0CA7B890C028B8C
Verbals/VC_VerbalsNPC_Merchant|1C38603F44E018BEF971AE827E281620
Verbals/VC_VerbalsNPC_Merchant|F2660D874D41839A3FD44B86AA3D7A12
Verbals/VC_VerbalsNPC_Merchant|AD028ADA4325CB0CB762FBBC1E167BC7
Verbals/VC_VerbalsNPC_Merchant|C03FBE98475B775A906CB9BAFCCFFDD8
Verbals/VC_VerbalsNPC_Merchant|3EF8945F4E3A817D1D1F62BEFA62EE5D
Verbals/VC_VerbalsNPC_Merchant|33373FC345C3FEFFE079D795ED58A1B0
Verbals/VC_VerbalsNPC_Merchant|9C31ECB345A70C0F224513B7DB477CC1
Verbals/VC_VerbalsNPC_Merchant|493E1B354E7385B798C53AA8C8A34261
Verbals/VC_VerbalsNPC_Merchant|7633A2654B4FD538AE096FA14FD97A36
Verbals/VC_VerbalsNPC_Gallant|12607F9F42B1D306E1050A8A1E4D3B74
Verbals/VC_VerbalsNPC_Gallant|6AFC776D4C11C4DB4DEE68AC5A9FDF07
Verbals/VC_VerbalsNPC_Gallant|967010D9419C8AEADEB4498C31E01378
Verbals/VC_VerbalsNPC_Gallant|AF35D87D432C6E92058BB2B88215A547
Verbals/VC_VerbalsNPC_Gallant|FCF246744402EB23A409E5939E53B344
Verbals/VC_VerbalsNPC_Gallant|F810740442F3B270ED4E8E9D24D33979
Verbals/VC_VerbalsNPC_Gallant|A82F113448505C252FFEEC8223C5C442
Verbals/VC_VerbalsNPC_Gallant|DE332F124C1AF49CFAA714B41972786D
Verbals/VC_VerbalsNPC_Gallant|BBFD2F294DB558DEB48053A19B010CAB
Verbals/VC_VerbalsNPC_Gallant|95337A214419648BC0CE3E8412E8577A
Verbals/VC_VerbalsNPC_Gallant|3F3DACA440ABAFC2630DAEAC0163B0DB
Verbals/VC_VerbalsNPC_Gallant|D34BD86C4DFF734886FE6FAC0C13B8C1
Verbals/VC_VerbalsNPC_Gallant|F58A7A6E40F5A0180776D2A501226C70
Verbals/VC_VerbalsNPC_Gallant|E8B11E724ABBB81D82B7E391306E03BB
Verbals/VC_VerbalsNPC_Gallant|C88C233A460B2B3A6EF54C89E6BD6B8B
Verbals/VC_VerbalsNPC_Gallant|EF399E824F88E56C224378BB2762E77A
Verbals/VC_VerbalsNPC_Gallant|7A5BBC634873BF1A0086E18F872F209B
Verbals/VC_VerbalsNPC_Gallant|BF8FDB6C4E25EC85AE7B29B507587B8D
Verbals/VC_VerbalsNPC_Gallant|3008F7254727BD260CDDFA9AA4250756
Verbals/VC_VerbalsNPC_Gallant|A05E3D2749438FFF1AFDDCBF2C7F0633
Verbals/VC_VerbalsNPC_Blacksmith|03E6E7A84371A6ED75D5DD83ADF54BB2
Verbals/VC_VerbalsNPC_Blacksmith|1F73205D487020E71058BCBBF141E92E
Verbals/VC_VerbalsNPC_Blacksmith|25C1D7AA4A166A1AFD146B9D6A1545E2
Verbals/VC_VerbalsNPC_Blacksmith|A7A4306549A60F70817C299F68A5658C
Verbals/VC_VerbalsNPC_Blacksmith|D24643D848396912EE47859A3A41368D
Verbals/VC_VerbalsNPC_Blacksmith|2772E1AC4345F6C72C0C8FA3C9A52F82
Verbals/VC_VerbalsNPC_Blacksmith|3D1BDE2F479F750EAC35F3BE11DF0D1D
Verbals/VC_VerbalsNPC_Blacksmith|097E106B4E857045C799B7BBB76C40EA
Verbals/VC_VerbalsNPC_Blacksmith|378D9C774396AFEE12C911B0817C4612
Verbals/VC_VerbalsNPC_Blacksmith|638683F645BC0A8A8ACD18B49903FC39
Verbals/VC_VerbalsNPC_Blacksmith|95EB218441608B3A5D6A5E9F02A33502
Verbals/VC_VerbalsNPC_Blacksmith|3C253560496EF22CE9CF2DABCEFA112F
Verbals/VC_VerbalsNPC_Door_Female_1|758C2B7D43D5C5FD29D3D5B78A9A8B0A
Verbals/VC_VerbalsNPC_Door_Female_1|116870504033E852C1674F97A3BD7768
Verbals/VC_VerbalsNPC_Door_Female_1|962C9E20440286EB3FC4DC8AAE8E08EB
Verbals/VC_VerbalsNPC_Door_Female_1|1B32E00246E8C67F5E1ACA88B2AA03E3
Verbals/VC_VerbalsNPC_Door_Female_1|F55F560B46EB7B083798E7BA98E6B169
Verbals/VC_VerbalsNPC_Door_Female_1|ACC0425740AB741E3F258BAF0A4F10ED
Verbals/VC_VerbalsNPC_Door_Female_1|495AA17E4798A350A50046B506A9FE39
Verbals/VC_VerbalsNPC_Door_Female_1|0DD74BF94C076A205DF1A9B0CEDBB7D1
Verbals/VC_VerbalsNPC_Door_Female_1|5BDB558F426335EBF1B2BF972342B9B4
Verbals/VC_VerbalsNPC_Door_Female_1|B30EB58E4087B1B655E000880020B7E8
Verbals/VC_VerbalsNPC_Door_Female_1|0C22C53643B40B481F9634B3DEB91488
Verbals/VC_VerbalsNPC_Door_Female_1|60CF92B24E99088CC5040C845CAE69AB
Verbals/VC_VerbalsNME_Boss_Mahkteah|6010BF7041C5ED4B8D6A5AB65CFF84BA
Verbals/VC_VerbalsNME_Boss_Mahkteah|B3224116492AAA158AA27B98D39FF010
Verbals/VC_VerbalsNME_Boss_Mahkteah|2E897B9C459502F322767C8A67E73CA9
Verbals/VC_VerbalsNME_Boss_Mahkteah|19BA3A174AEAFDC20E8B81A9FFCF70A0
Verbals/VC_VerbalsNME_Boss_Mahkteah|4024900D4E722B609D09B09003ACD67F
Verbals/VC_VerbalsNME_Boss_Mahkteah|276F2C1640EAF60090FB098707F3D5E9
Verbals/VC_VerbalsNME_Boss_Mahkteah|A96447604CA1A1528EFB1D8C3EC5EADB
Verbals/VC_VerbalsNME_Boss_Mahkteah|54A10C294CA5BB62F8DF6F8063B13D44
Verbals/VC_VerbalsNME_Boss_Mahkteah|2CA0399F4D4F58A16E05E4BBDBD5600B
Verbals/VC_VerbalsNME_Boss_Mahkteah|28F0AFD341E8E09BEA1FD5AA09D45925
Verbals/VC_VerbalsNPC_Librarian|7813CD664AD6F768C1D24CAB686DD163
Verbals/VC_VerbalsNPC_Librarian|A7C9F395483E699514084B8FD3099A1F
Verbals/VC_VerbalsNPC_Librarian|82A1C4CD4ACE22DE4CCBFE86CA32B9FD
Verbals/VC_VerbalsNPC_Librarian|F5BD19224D92F2EBE7214D8A27E51574
Verbals/VC_VerbalsNPC_Librarian|8BE06CE4415DD56049645BB80BCE2C1A
Verbals/VC_VerbalsNPC_Librarian|397730FA4E6DD36510BD1BA472E78493
Verbals/VC_VerbalsNPC_Librarian|D20BA48D49B6C1D43DFA1FB03AF6AA7D
Verbals/VC_VerbalsNPC_Librarian|F931C9BA4C0858C0D84DE9A24843BEC2
Verbals/VC_VerbalsNPC_Librarian|EE1E7A554A9289DFDD2BE38212CA7C64
Verbals/VC_VerbalsNPC_Librarian|4708FF2C4755821E5FCFB9B998779E4F
Verbals/VC_VerbalsNPC_Librarian|F366B1CC443FF478A052E68D9B635EEB
Verbals/VC_VerbalsNPC_Librarian|7BFAA1794DDC61AB202EFAB71C3B6FBD
Verbals/VC_VerbalsNPC_Librarian|C79F3AAB4B81B38CFD191AB164A0A061
Verbals/VC_VerbalsNPC_Librarian|EFCD2B6A4E3B0E0E17B7B7B5AF6985E9
Verbals/VC_VerbalsNPC_Librarian|585ED4654FC1D0DECD0E1294BAB4DF9C
Verbals/VC_VerbalsNPC_Librarian|3A99870E492589A6F30E58867AED2978
Verbals/VC_VerbalsNPC_Solomon|5866710C49994952363920973EFCBEC4
Verbals/VC_VerbalsNPC_Solomon|C1B91F4A4BFCF9F0068CA9A69628B804
Verbals/VC_VerbalsNPC_Solomon|AB791ADE48B34E45D3F793B62F29AE2B
Verbals/VC_VerbalsNPC_Solomon|0018A788485CE3F2AEE0BBA79C0344CC
Verbals/VC_VerbalsNPC_Solomon|53E1EFB14BB4A1044934CFB07AC081E9
Verbals/VC_VerbalsNPC_Solomon|62B5D56F4B3DAFE4EDA642A56B5F21EF
Verbals/VC_VerbalsNPC_Solomon|86103398469F34BCE5FF2CB1DD1E4187
Verbals/VC_VerbalsNPC_Solomon|E6914F4F4F028FB9362ED7B66EDE3E52
Verbals/VC_VerbalsNPC_Solomon|C31229374857B10C676739A482038887
Verbals/VC_VerbalsNPC_Solomon|6B38424E491A03C0686E4DB2FDAB997E
