PMUI_RemapBindings|DynamicDetails_KeyboardInputAction
ST_Armor|ChampionCuirassDesc
ST_Armor|SovereignSentryCuriassDesc
ST_Trinkets|FontOfConviction
ST_Trinkets|MartyrsGift
ST_Vendors|ShoreditchWalltower_Discover
ST_Armor|WatchmansOathGreaves
ST_Armor|EpochHelmet
ST_Armor|CovenantClericGauntlets
ST_Armor|TelvaughtExcoriatorCuirassDesc
ST_Trinkets|PurgingFire
ST_Weapons|ReaperPoleaxe
ST_Trinkets|JudgementsMark
ST_Weapons|TarnishedBroadsword
ST_Armor|HexKnightGauntlets
ST_Armor|RuinedBelwayneGreaves
ST_Armor|BelwayneKnightHelmet
ST_Trinkets|OnAPaleHorse_Title
ST_Armor|MidnightOathHelmet
ST_Vendors|RecallPrologue
ST_QuestItems|QI_HolyWater
ST_Consumables|HolyFireElixirDesc
ST_Armor|FelWhiteAvianHelmet
ST_Consumables|CrusadersMightElixirDesc
ST_Armor|DivineOathGauntlets
ST_Armor|SirCamdensHelmet
ST_Trinkets|HuntersStrike_Title
ST_Vendors|BlacksmithBuySpecialOffers
ST_Consumables|PoisonedThrowingKnifeName
ST_Armor|MoonlightOathCuirass
ST_Vendors|QuestTopic
ST_Trinkets|ConsecratedDraught_Title
ST_Weapons|Scirax
ST_Trinkets|MomentumCharge_Title
ST_Armor|SancutsZealotCuriass
ST_BoonDescriptions|AshenVerdictDesc_Dynamic
ST_BoonDescriptions|RelentlessMomentumDesc_Dynamic
ST_BoonDescriptions|HeavenfireBurstDesc_Dynamic
ST_BoonDescriptions|Sanguimancer_Dynamic
ST_BoonDescriptions|BrewmasterDesc_Dynamic
ST_WeaponArts|FlashHealName
ST_BoonDescriptions|OathswornReturnDesc
ST_Boons|ZealOfTheFaithful
ST_Boons|SanctifiedRhythm
ST_BoonDescriptions|ChaliceOfConquestDesc
ST_BoonDescriptions|CrushingRebukeDesc
ST_BoonDescriptions|AscendantAurasDesc_Dynamic
ST_WeaponArts|HealingAuraName
ST_BoonDescriptions|SoulboundSorceryDesc
ST_Boons|AscendantAuras
ST_WeaponArts|PoisonCaltropName
ST_BoonDescriptions|OathboundArtsDesc
ST_Boons|Trinkets
ST_Boons|BlessedMomentum
ST_WeaponArts|FireTrailName
ST_InformationScrollData|Story_ScoutNote2_TextBody
ST_InformationScrollData|Tutorial_Angel1_TextBody
ST_InformationScrollData|Hublore_Transmitorium1_TextBody
ST_InformationScrollData|Story_PropertySiezure_TextBody
ST_InformationScrollData|Story_Nightmare1_TextBody
ST_WarTable|RewardsEarned
ST_InformationScrollData|Hublore_Librarian1_TextBody
ST_WarTable|W4_FB1_Title
ST_WarTable|W1_D2_Description
ST_Quests|EQMT_Name
ST_Objectives|SQBEDT_Objective_Topic
ST_Quests|MQBITF_Name
ST_Objectives|SQTLC_Objective_Short
ST_InformationScrollData|Hublore_AbraxasStones_ScoutText
ST_Quests|SQTEABL_Desc
ST_Quests|SQBKT_Name
ST_Objectives|SQST_Objective_3_Full
ST_Quests|SQLOP_Name
ST_InformationScrollData|Tutorial_WeaponArts1_ScoutText
ST_Objectives|SQBB_QuestTopic_3
ST_Quests|SQKC_Desc
ST_Objectives|SQST_III_Objective_2_Full
ST_Objectives|SQBCFA3S
ST_WarTable|AE_Description
ST_Quests|SQUHY_Name
ST_Objectives|MQPE1_Objective_4_Full
ST_WarTable|W1_Description
ST_Objectives|SQBCV3S_Objective_Full
ST_Quests|SQMW_Name
ST_Quests|SecularArchivistName
ST_LoreNotes|MALS_3_Body
ST_LoreNotes|LALS_2_Body
ST_LoreNotes|DRLS_1_BodyText
ST_LoreNotes|SPLS_7_SubHead
ST_LoreNotes|SPLS_5_Title
ST_LoreNotes|GRLS_1_SubText
ST_LoreNotes|FSLS_2_Title
ST_LoreNotes|DRLS_1_SubHead
ST_LoreNotes|RKLS_1_SubHead
ST_LoreNotes|GRLS_3_Body
