namespace,key,en,fr,es,it,de
,BC4CBE164EAC86823A5312ADFA15D1D5,+,+,+,+,+
,CCF15D55446F03CD78F2B8A96C2C4600,+,+,+,+,+
,E6EB7399456EE86190EC518011FFFD50,+,+,+,+,+
,82863CED450BE58025D581B40F3E3908,+ NEW LOADOUT v,+ NOUVEL ÉQUIPEMENT DE DÉPART v,+ NUEVO EQUIPAMIENTO v,+ NUOVO EQUIPAGGIAMENTO V,+ NEUE AUSSTATTUNG V
,E33A3F1946B54C41D911F1A9EA8E515C,+00,+00,+00,+00,+00
,D8E3FE864B91FCCAFCCC4AAFD4358506,+1 Max Health Flasks,+1 au max de gourdes de PV,+1 frascos de salud máxima,+1 boccetta curativa max,+1 max. Heilfläschchen
,5B23DD52460A0AA3F484538A014A2FD8,+1 Max Lives,+1 au max de vies,+1 vida máxima,+1 vita max,+1 max. Leben
,6DFB1B8146DB48D34E8A859CA7EF2365,+1 Max Lives,+1 au max de vies,+1 vida máxima,+1 vita max,+1 max. Leben
,A82F0B3D4AE799A18E32098AE1DEA334,+1 Max Lives,+1 au max de vies,+1 vida máxima,+1 vita max,+1 max. Leben
,FB0FCD7C47D51AFF8D19BAB3899BBA02,+1 Max Lives,+1 au max de vies,+1 vida máxima,+1 vita max,+1 max. Leben
,13901007412EAB6EB7251B8C2A74C67B,+1 Max Mana Flasks,+1 au max de gourdes de mana,+1 frascos de maná máximo,+1 boccetta di mana max,+1 Max. Manafläschchen
,ABBAA73B4529EF1F8A8DC095EE4ADC15,+1 Shared Lives,+1 vie partagée,+1 Vidas compartidas,+1 vita condivisa,+1 gemeinsames Leben
,4B3377B34ED7D265DC31EBAF3023394D,+10 Max Health,+10 PV max,+10 de salud máxima,+10 di PS max,+10 max. LP
,5A057E874B2ED9B2E81F1CB1657908A6,+10 Max Health,+10 PV max,+10 de salud máxima,+10 di PS max,+10 max. LP
,7934B3C04465D32D896FEB8D150B5B30,+10 Max Health,+10 PV max,+10 de salud máxima,+10 di PS max,+10 max. LP
,7B1AAD2243F7F37272E25F8964B2CC8F,+10 Max Health,+10 PV max,+10 de salud máxima,+10 di PS max,+10 max. LP
,BD3ACD5246726DF5341CB0BA2D3CC8EE,+10 Max Health,+10 PV max,+10 de salud máxima,+10 di PS max,+10 max. LP
,F43CBAE64763F02A65A8B68372CFC2DD,+10 Max Health,+10 PV max,+10 de salud máxima,+10 di PS max,+10 max. LP
,1D46729E456EFECD9EA8249920A64B53,+10% Damage vs Burning,+10 % de dégâts vs brûlure,+10 % de daño contra Quemadura,+10% di danni a nemici con bruciatura,+10 % Schaden gegen brennende Gegner
,31CB47004128475C91FD71AF07892021,+2 Bag Slots Unlocked!,+2 emplacements de sac débloqués !,¡+2 espacios de bolsa desbloqueados!,+2 slot borsa sbloccati!,+2 Beutel-Slots freigeschaltet!
,9EF558A242B7331339A7AAA5A3DD8418,+2 Bag Slots Unlocked!,+2 emplacements de sac débloqués !,¡+2 espacios de bolsa desbloqueados!,+2 slot borsa sbloccati!,+2 Beutel-Slots freigeschaltet!
,CCE09F454E752344C468A4B4F2F03FCD,+2 Crushing Damage,+2 pts de dégâts d'écrasement,+2 de Daño Demoledor,+2 danni da schiacciamento,+2 Wuchtschaden
,863100474A2E02BD8F450EAE3C13F13E,+2 Slashing Damage,+2 pts de dégâts tranchants,+2 de daño por corte,+2 danni da taglio,+2 Hiebschaden
,7906B4174D773749D855728EB17CF55D,+3 Fire Damage,+3 pts de dégâts de feu,+3 de Daño de Fuego,+3 di danni da fuoco,+3 Feuerschaden
,CEA2B82A4E61625C43DCD895D4342285,+3 Max Mana,+3 pts de mana max,+3 de maná máximo,+3 di mana max,+3 max. Mana
,2FBCA3854BFF040708533C940EBA6972,+3 Max Stamina,+3 pts d’endurance max,+3 de vigor máximo,+3 di forza massima,+3 max. Ausdauer
,1AF90E0E49144FCBB9408F839CC36011,+4 Crushing Damage,+4 pts de dégâts d'écrasement,+4 de Daño Demoledor,+4 danni da schiacciamento,+4 Wuchtschaden
,8851DFE241FF1628765E35A7CC79B6EE,+4 Slashing Damage,+4 pts de dégâts tranchants,+4 de daño por corte,+4 danni da taglio,+4 Hiebschaden
,F66F7786456FA51B4D8FBD97003024AB,+4 Slashing Damage,+4 pts de dégâts tranchants,+4 de daño por corte,+4 danni da taglio,+4 Hiebschaden
,FBD6326A4E043C80911752951D951DBE,+40 Fire Attack. Lasts for 30 Seconds.,+40 pts d’attaque de feu. Dure 30 secondes.,+40 de ataque de fuego. Dura 30 segundos.,+40 di attacco di fuoco. Dura 30 secondi.,+40 Feuerangriff. Dauert 30 Sekunden.
,B4EEDF2E44C867CB0F082881B5EFB808,+5 Fire Damage,+5 pts de dégâts de feu,+5 de daño de fuego,+5 danni da fuoco,+5 Feuerschaden
,98C0E29D4C66CFD1BBCF878D2C4BE478,+5 Max Health,+5 PV max,+5 de salud máxima,+5 di PS max,+5 max. LP
,1B30AC4841A9461AAEAF88BE0C445969,+5 Max Mana,+5 pts de mana max,+5 de maná máximo,+5 di mana max,+5 max. Mana
,65E70958416F49AE52E2B792B172BB74,+5 Max Mana,+5 pts de mana max,+5 de maná máximo,+5 di mana max,+5 max. Mana
,B4FDEB5146B5DD8BDDB6BA9B155069BB,+5 Max Mana,+5 pts de mana max,+5 de maná máximo,+5 di mana max,+5 max. Mana
,BE11FF674A597391DCF17C99F849100C,+5 Max Mana,+5 pts de mana max,+5 de maná máximo,+5 di mana max,+5 max. Mana
,D23D2B9A408B23D4BE59898297221B3D,+5 Max Mana,+5 pts de mana max,+5 de maná máximo,+5 di mana max,+5 max. Mana
,027F09CB49ED7593455AAB8F81740B74,+5 Max Stamina,+5 pts d’endurance max.,+5 de vigor máximo,+5 di forza massima,+5 max. Ausdauer
,15389C88417012326D2E9C973B89BBAE,+5 Max Stamina,+5 pts d’endurance max.,+5 de vigor máximo,+5 di forza massima,+5 max. Ausdauer
,8F9A804F466B2EF2B543E59E828015CC,+5 Max Stamina,+5 pts d’endurance max.,+5 de vigor máximo,+5 di forza massima,+5 max. Ausdauer
,9D28C1DD4A8119B528A8B79E0EA3E55E,+7 Max Mana,+7 pts de mana max,+7 de maná máximo,+7 di mana max,+7 max. Mana
,588D7EC54F712C37529834876FBC1C7E,+7 Max Stamina,+7 pts d’endurance max,+7 de vigor máximo,+7 di forza massima,+7 max. Ausdauer
,75B2699247E08323BD2585A8C3375FAA,+Consumable Max Carry,Max de consommables transportés accru,+ capacidad máxima de consumibles,+ capienza max consumabili,+Max. tragbare Verbrauchsgüter
,B422ED384629C09BCD7067953861CCAF,+Consumable Max Carry,Max de consommables transportés accru,+ capacidad máxima de consumibles,+ capienza max consumabili,+Max. tragbare Verbrauchsgüter
,08A290F742AB3B67210969BA237B0F37,+Throwable Max Carry,Max d’armes de jet portées accru,+ capacidad máxima de objetos arrojadizos,+ capienza max lanciabili,+Max. tragbare Wurfwaffen
,4BB2D7AA4634A724F57B61A857680E37,+Throwable Max Carry,Max d’armes de jet portées accru,+ capacidad máxima de objetos arrojadizos,+ capienza max lanciabili,+Max. tragbare Wurfwaffen
,31C41E90469876F2E1056A9997AB765F,-,-,-,-,-
,40A775C14F322B4FD8459C8DF9AAC2A8,-,-,-,-,-
,B00B95244F25CB39B40DCF9A265E904C,-,-,-,-,-
,D9C3DFA34FCDF8EF78A435BC0DC726F0,-,-,-,-,-
,DA7423C7406863EE3C35C5AF9D808042,-,-,-,-,-
,3ABD788C494EC4605A3A2E814C4D6CA1,- Restores health,- Rend des PV,- Restaura la salud,- Ripristina la salute,- Stellt die LP wieder her
,7BE34632437AFF4B85708DB0C9AE0CD6,- Restores mana,- Rend du mana,- Restaura maná,- Ripristina il mana,- Stellt Mana wieder her
,DEAD4DA34A45C94C2EA1E2B05D6D0745,- the Knight Commander,- Le chevalier commandeur,- el Caballero Comandante,- il comandante dei cavalieri,- der Ritterkommandant
,F8DD0AB4496E1E61E9B96CBB16C63B3A,- the Knight Commander,- Le chevalier commandeur,- el Caballero Comandante,- il comandante dei cavalieri,- der Ritterkommandant
,097F290347E8B27E9C793BA560AFCC07,/,/,/,/,/
,1477EF8C44064EB79026C8AAB0892234,/,/,/,/,/
,1EBCD7B04923CC9C03E6CBADB3B67933,/,/,/,/,/
,23E726C64AF1FE341D2D0CAF554DAFD0,/,/,/,/,/
,81977A8B47EA5C3747238BAC80249010,/,/,/,/,/
,87A00E0845F0AA7DC721BBA55257585D,/,/,/,/,/
,91BB5B584E66C669A5C791AD96F8B242,/,/,/,/,/
,9F7B079A41ABE42A390C3EA2342CF129,/,/,/,/,/
,E71229FD4E03087980FC4BA6EC676485,/,/,/,/,/
,3C79E4524F872A20482B0F944E1901E0,/ ,/ ,/ ,/ ,/ 
,CB9612F2413887FF572689A6E6922A01,/4,/4,/4,/4,/4
,0711E04C4F0023E4369FC89369E61B30,0,0,0,0,0
,109D1B3E4D0354EC1E66BA8F5F1FEFA5,0,0,0,0,0
,114CEE9C462A0B534CE550AF9CBDDBB4,0,0,0,0,0
,25427D0E494F2D85E82AD08EAD7867E3,0,0,0,0,0
,2CEB73E846DCFB0C9FECE29A123EE332,0,0,0,0,0
,3087B39F4D51102A1B2A4AB20B9C216C,0,0,0,0,0
,336B1F0E4E8105DA2A9B51A4645B97E0,0,0,0,0,0
,33FA280B4CF4F591BC48F4B8793C49EA,0,0,0,0,0
,59C00F2B45EF81A97705B782275BF7AC,0,0,0,0,0
,5ADFE9A2457346A7B6406EBB9C5B2EA0,0,0,0,0,0
,657693C94FF2E382D67F07BF147E73F7,0,0,0,0,0
,6809AC934F6FA4CEF1EFFF9431D7EC3F,0,0,0,0,0
,8FA8B837494806C74D1A74AB5B6349B4,0,0,0,0,0
,8FBD0ADE43495EECBADDBF95050477E5,0,0,0,0,0
,96D856444706E20D3285539BA1642EF9,0,0,0,0,0
,9BE4860E4D6D368A7FF118B4C53E68EC,0,0,0,0,0
,A17B95354263BB107DA2D591DC09536E,0,0,0,0,0
,AC4F705D4A4EC30BC427678B1139EAB0,0,0,0,0,0
,AF1C0AE74FB1BD24FFA9DD89D7377EBB,0,0,0,0,0
,B031E7A64BB2C517D717B59CA593CC18,0,0,0,0,0
,B49A00EB4B8302B4DD38539DF1D633BC,0,0,0,0,0
,DAF802CC481CFE246FDACC872023471A,0,0,0,0,0
,E76B5D064C0789497D3D55B443144FF3,0,0,0,0,0
,E81DAA744D57B6330E63099BC1EA7E5E,0,0,0,0,0
,EAC9E18B4497CF11FDD461879A4768CB,0,0,0,0,0
,EE21A80B4F1959256B467092AB580058,0,0,0,0,0
,F4D5E12441C8A569BBB816A411E64854,0,0,0,0,0
,F55722D44ED707E384E75299BB41C9FE,0,0,0,0,0
,FB3D580D4760B074DC6E78B81DD8D612,0,0,0,0,0
,5779E49946FA026CCCE3C89D65960FF9,0%,0 %,0%,0%,0 %
,254FD8C3497F29A5DC43D3AC9D8067F9,0.0,0.0,0.0,0.0,0.0
,BC1E54E9433D69D2B0C11F8BF9E27A4F,0.0,0.0,0.0,0.0,0.0
,D125A4D341D91BC7CE53838BCFD69875,0.0,0.0,0.0,0.0,0.0
,7FBEB5BA4FB4EF86FB82C0A2E7D4C1E2,0/1,0/1,0/1,0/1,0/1
,388B1F794EB7C0C2A7B7659F3A4B72B7,00,00,00,00,00
,5688A6AB4375757696E2CFA16EA32E04,00,00,00,00,00
,593BED5344A8A30C403365838DD0A6A3,00,00,00,00,00
,7C1E01814610E8BA1E1B8DBB485B8022,00,00,00,00,00
,887B49EE47A6338838475897AB0C604D,00,00,00,00,00
,ACBC4DCB4ED920A8950F229201204241,00,00,00,00,00
,B4ABEF1E4C36156D0D3623B6CC63E2A0,00,00,00,00,00
,C2A0567844310C8B5D7AECAF59131845,00,00,00,00,00
,CF5065484330E57B92DD969AC28AC762,00,00,00,00,00
,E295DFBE466510AFFA2B968D17D6C8F8,00,00,00,00,00
,1F80FA694FF0DCAC1857D586D9976B97,"00,000","00,000","00,000","00,000","00,000"
,3757AEA949AC4302091D24A4DFDD3D56,000,000,000,000,000
,4B6E9FB34DA402A99CB8F0991B9CAF15,000,000,000,000,000
,6872527742D7AABAD347F8B639B1CA4C,000,000,000,000,000
,7A8C37BC4C29E5A32725F3965DFB240D,000,000,000,000,000
,801703384D751EADD530F0B995EB7C3B,000,000,000,000,000
,D10429A54A5C201034AC2692A567E766,000,000,000,000,000
,D7AAA5E34B5A6DF0BF17F9A7ABC3DA4D,000,000,000,000,000
,AE6FD14E48DEAA9C58B2D798C13A2021,00000,00000,00000,00000,00000
,93CF02DC457375CCF3F6C6AEE56A574F,0000000000000,0000000000000,0000000000000,0000000000000,0000000000000
,95C3315B40700102FBB5C0A4EF722902,00:00,00:00,00:00,00:00,00:00
,B26B6FD04B4EC83DB7680B811A67B21F,00:00,00:00,00:00,00:00,00:00
,CAD54B7645AEE654CFA176AC8490803D,00:00,00:00,00:00,00:00,00:00
,662678274966D7DCDBC4508EBF1C4F27,00:00:00 01/01/2000,00:00:00 01/01/2000,00:00:00 01/01/2000,00:00:00 01/01/2000,00:00:00 01.01.2000
,D995DA9D433C06F7A68971BF7F57839B,01,01,01,01,01
,425AF25748F625B3297DB2B0A92B1C64,0:{Duration},0 :{Duration},0:{Duration},0:{Duration},0:{Duration}
,76E59E114FDE626823169882938CFCA3,1,1,1,1,1
,B3AEA464400307DCC1B9A1986A26C3C8,1,1,1,1,1
,C39836AA451C8A7A81822581EB14C3F2,1,1,1,1,1
,D8F479ED424EA15D25E6C683A3BF8D76,1,1,1,1,1
,FA148DBD428A1C74EA46248018B678F4,1,1,1,1,1
,F043191942351E68EB694E9CF4FF2716,1 / 6 Rewards Earned,1 / 6 Rewards Earned,1 / 6 Rewards Earned,1 / 6 Rewards Earned,1 / 6 Rewards Earned
,8BC80FAA46C955D0219CA2B2E5EB36D5,1/1,1/1,1/1,1/1,1/1
,3488A6994C201ADF9392ABB96B49508F,10,10,10,10,10
,3AF1575E4AEC1FE38EA07AA5EAF3162D,100,100,100,100,100
,3F4B00FB417DA6D826A349B1CC900A62,100,100,100,100,100
,48E05C6345FCF3D96A0572A4666B3559,100,100,100,100,100
,2651B8154D142727A56F98B13E5A6A0D,1000,1000,1000,1000,1000
,313170704EC6A21E29ADF5847A674EAD,123,123,123,123,123
,C64F674146DA15C6C92433A65149173C,123456,123456,123456,123456,123456
,B2BA13364A532D15F048DEBA701274A8,12:54,12:54,12:54,12:54,12:54
,FD6485EA4674514537664091DC33FCFB,12:54,12:54,12:54,12:54,12:54
,060EE80B47738AAB213F10AF312DBC76,13.05.2026,13/05/2026,13.05.2026,13/05/2026,13.05.2026
,2899FF1944D575055CDA7DBE7B9DFC29,13.05.2026,13/05/2026,13.05.2026,13/05/2026,13.05.2026
,72EEF7A44F2396FC22F092A1E5D7EE1E,13.05.2026,13/05/2026,13.05.2026,13/05/2026,13.05.2026
,6420197E4E353E8DEACCE4B30DEC1475,15,15,15,15,15
,48B8F90E4725F257D29237938533FA4F,2,2,2,2,2
,B0FD99A6441544DEE9EA0E887846351E,2,2,2,2,2
,B2D92B1A4948090548A70F810CED8D1A,2,2,2,2,2
,7FE48EB84EE674B6A4F62E84273A98DB,2 NEXUS GATES LEFT,2 PORTAILS DE NEXUS RESTANTS,AÚN QUEDAN 2 PUERTAS DE NEXO,2 PORTALI DEL NEXUS RIMASTI,2 VERBLEIBENDE NEXUS-TORE
,AE0315AF4E2D535EC282FEA45C50A8AD,20,20,20,20,20
,B7D4F4544D613DCB3DA0A8A6F643B6FE,20,20,20,20,20
,980C6E4E48BA3CCBD771FABC8B64F78A,22,22,22,22,22
,B7400CBA41A745FC89EAA4979F199ADC,28,28,28,28,28
,50D6162844BD484643608997F1557F74,29,29,29,29,29
,1F96DA1A4081D2C18A54DBA9B7B4C9C7,3,3,3,3,3
,5F1D49AE4C28413F13BD1D855ACCBFC4,3,3,3,3,3
,93A7CA2743BCAD61DDF4798F4EFF9A1B,3,3,3,3,3
,786AA76B429B87AC3E59BBB390AEFCB9,3.5,3.5,3.5,"3,5",3.5
,D179721449558995F412B292B2701C12,3.5,3.5,3.5,"3,5",3.5
,8FEC54AA4EFD00D3CFF9009A85A341CB,30,30,30,30,30
,ED17BF4A4CA76CF1AC2F7388DAC2FB9B,30 FPS,30 IPS,30 FPS,30 FPS,30 FPS
,0AD0D6C44907C3C0D2A866916AA597B4,4,4,4,4,4
,096D8C084D48F44E0345CEA2264364E5,4 / 5,4 / 5,4 / 5,4/5,4 / 5
,23E32B1F462FD247F6AE838B472B4A40,4 / 5,4 / 5,4 / 5,4/5,4 / 5
,02AD9A8B4B2B6CFC10EB5B84F1806EA0,40 / 50,40 / 50,40 / 50,40/50,40 / 50
,B7848B0946B2269DC62E95AF1C24914B,40 / 50,40 / 50,40 / 50,40/50,40 / 50
,2AEB1752478C5E29461AD3A6A3B3CDA4,40/80,40/80,40/80,40/80,40/80
,13AC222B494F345D3E521294D44749BF,47/50,47/50,47/50,47/50,47/50
,9141CD3647D30ABE0541F8B7DF966634,5,5,5,5,5
,58E409D14DBE8A430A5E06B56C9DE8CE,50,50,50,50,50
,DD12BC1B4A869A764CB48CAC15829736,50,50,50,50,50
,CDE72C9142F9D10B297EE6A6062F1B1C,500 purified souls,500 âmes purifiées,500 almas purificadas,500 anime purificate,500 geläuterte Seelen
,FED1079947F30E12460B5BAF68873544,54.321,"54,321",54.321,54.321,54.321
,B6A7A5DA4A115D9324522B8B648AF039,58h,58 h,58h,58 h,58 Stunden
,E4CA949D43D37A7CB8370989D5068251,58h,58 h,58h,58 h,58 Stunden
,B6E07D1A418ECCB62FF3C7813A79F6E5,6,6,6,6,6
,2AA8980C4F8141A9E36A5194AD5C8641,60 FPS,60 IPS,60 FPS,60 FPS,60 FPS
,DE7AF7014DCE8DE10114BABC78BAFE38,600,600,600,600,600
,EAF2E7C4463FCB8CB73A3F955D217F98,600,600,600,600,600
,5CAC8F8B4DEC26998DACAC93BECB0C65,9,9,9,9,9
,1F235A194D44ECE4717170A94EFC9CEF,99,99,99,99,99
,9D85997D44C2C225ADB5E5831DFD40A1,99,99,99,99,99
,9D8F1E53482A35C28311F6BFF6F5C027,999,999,999,999,999
,2D13C2EB470AC5450E185AB82F0C6489,:,:,:,:,:
,84F0263B453B564BCFB80E97777FBA77,<,<,<,<,<
,3CFC47E94140131B6C5C0E9F7CA01484,<Header>ANGEL POWERS</>,<Header>POUVOIRS D'ANGE</>,<Header>PODERES DE ÁNGEL</>,<Header>POTERI ANGELICI</>,<Header>ENGELSKRÄFTE</>
,8F4F30934971B07C783CFDBD7A089760,<Header>ANGEL POWERS</>,<Header>POUVOIRS D'ANGE</>,<Header>PODERES DE ÁNGEL</>,<Header>POTERI ANGELICI</>,<Header>ENGELSKRÄFTE</>
,DC5527C5448D22C5523F7D94A6782274,<Header>Angel Ascension</>,<Header>Ascension angélique</>,<Header>Ascensión de los ángeles</>,<Header>Ascensione angelica</>,<Header>Engelsaufstieg</>
,D846FA9F4FB7F37E0263648D8593737D,<Header>Angel Sense</>,<Header>Sens angélique</>,<Header>Sentido angélical</>,<Header>Istinto angelico</>,<Header>Engelssinn</>
,7B286CCF45DCA361271E7F8530BA41B2,<Header>Angelic Grace</>,<Header>Grâce angélique</>,<Header>Gracia Angelical</>,<Header>Grazia angelica</>,<Header>Engelsgnade</>
,F308281A4F9E5027945CD7BB1AE03C02,<Header>Angelic Grace</>,<Header>Grâce angélique</>,<Header>Gracia Angelical</>,<Header>Grazia angelica</>,<Header>Engelsgnade</>
,0F1C7F37422BDDDAEF17D3B31DC97AEB,<Header>Backstab</>,<Header>Coup dans le dos</>,<Header>Puñalada por la espalda</>,<Header>Pugnala alle spalle</>,<Header>Meuchelangriff</>
,5BA9EBD348975768D5E8CB8B405E6FA6,<Header>Bag Slots</>,<Header>Emplacements du sac</>,<Header>Ranuras para bolsas</>,<Header>Slot borsa</>,<Header>Beutel-Slots</>
,8E2319AD48A71D00FA7A858C04F0E58F,<Header>Blacksmith</>,<Header>Forgeron</>,<Header>Herrero</>,<Header>Fabbro</>,<Header>Schmied</>
,8EF38FC44C1C43A6725E39A16A05FB0B,<Header>Blessed Weapons</>,<Header>Armes bénies</>,<Header>Armas benditas</>,<Header>Armi benedette</>,<Header>Gesegnete Waffen</>
,51903D2A41168DED08066DB9AE6E13ED,<Header>Blocking</>,<Header>Blocage</>,<Header>Bloquear</>,<Header>Blocco</>,<Header>Blocken</>
,313EC7F54FFC455CCC38DE99A9700D07,<Header>Boon Sigils</>,<Header>Sceaux des bienfaits</>,<Header>Sellos de Bendición</>,<Header>Sigilli benedetti</>,<Header>Segensiegel</>
,4F2644C64EE05FD83A5B50BB4C89E455,<Header>Bounty Quests</>,<Header>Quêtes avec prime</>,<Header>Misiones de recompensa</>,<Header>Cacce alla taglia</>,<Header>Kopfgeldaufträge</>
,77DC89FD40136FDFC022A4AB8C20774C,<Header>Co-Op Play</>,<Header>Jeu coopératif</>,<Header>Juego cooperativo</>,<Header>Co-op</>,<Header>Koop-Spiel</>
,0980B77B4F3C42300E27CE8FFC79C3BE,<Header>Collection</>,<Header>Collection</>,<Header>Collection</>,<Header>Collection</>,<Header>Collection</>
,6FB9434B47BF079F6E7844A52D3C03A8,<Header>Consumables and Throwables</>,<Header>Consommables et armes de jet</>,<Header>Consumibles y objetos arrojadizos</>,<Header>Consumabili e oggetti da lancio</>,<Header>Verbrauchsgüter und Wurfwaffen</>
,969D44DC448A7357731995B74C2C5FFA,<Header>Cost of Death</>,<Header>Coût de la mort</>,<Header>Costo de la muerte</>,<Header>Prezzo della morte</>,<Header>Todeskosten</>
,D2A1EBFD4D45E4E7C16D56AF12992DAC,<Header>Difficulty Levels</>,<Header>Niveaux de difficulté</>,<Header>Niveles de dificultad</>,<Header>Livelli di difficoltà</>,<Header>Schwierigkeitsgrade</>
,100469944D2DFCEC0F57CA9C7C1889C6,<Header>Dodge Frames</>,<Header>Dodge Frames</>,<Header>Dodge Frames</>,<Header>Dodge Frames</>,<Header>Dodge Frames</>
,DF4EDDA546E460B8C76CB6A6035A8FDF,<Header>Dodging</>,<Header>Esquive</>,<Header>Esquivar</>,<Header>Schivare</>,<Header>Ausweichen</>
,D5AF9DA940E3831F14EE1391FAB79708,<Header>Downed</>,<Header>À terre</>,<Header>Abatido</>,<Header>Abbattuto</>,<Header>Niedergeschlagen</>
,731898DB4271464C0153048BF613DDA5,<Header>Enemy Block</>,<Header>Blocage ennemi</>,<Header>Bloqueo enemigo</>,<Header>Blocco del nemico</>,<Header>Feindlicher Block</>
,F71C1BDF46123D1C8CDAE28F1F7B90C2,<Header>Enemy Variants</>,<Header>Variantes d’ennemis</>,<Header>Variantes de enemigos</>,<Header>Varianti dei nemici</>,<Header>Feindliche Varianten</>
,A27196CC4D6B86EE30E8EBA921ADFDDE,<Header>Evolving Paths</>,<Header>Parcours évolutifs</>,<Header>Caminos en evolución</>,<Header>Percorsi che si evolvono</>,<Header>Entwicklungspfade</>
,C807CBAE4459F80282F1E8AD769BBC40,<Header>Gate Locked</>,<Header>Porte verrouillée</>,<Header>Puerta bloqueada</>,<Header>Portale chiuso</>,<Header>Tor verschlossen</>
,E4764533400816E04AB8E6AF922504E9,<Header>Gold and Souls</>,<Header>Or et âmes</>,<Header>Oro y almas</>,<Header>Oro e anime</>,<Header>Gold und Seelen</>
,06E5900C4E91E08E987D1C87C2913BD4,<Header>Hall of Valor</>,<Header>Hall de la vaillance</>,<Header>Salón del Valor</>,<Header>Sala del valore</>,<Header>Halle der Tapferkeit</>
