source_term,type,count,should_translate,approved_ar,status,notes,example
Mathias,proper_noun,15,decide,,pending,,Cardinal Mathias
Godsreach Spire,proper_noun,15,decide,,pending,,"Before you are the Abraxas Stones, that bind the souls of powerful beings known as the Dea"
Aegoroth,proper_noun,15,decide,,pending,,Dreams of Aegoroth
Apostate Hunts,proper_noun,15,decide,,pending,,The Apostate Hunts
Knight Commander,proper_noun,14,decide,,pending,,- the Knight Commander
Souls,proper_noun,14,decide,,pending,,<Header>Gold and Souls</>
Greaves,proper_noun,14,decide,,pending,,Armaean Greaves
Holy Lineage,proper_noun,14,decide,,pending,,"A variant of Crimson Oath armor, bestowed upon Nephilim who take The Oath of the Divine.

"
Angels,proper_noun,14,decide,,pending,,Nephilim can call upon the power of their Angelic Lineage to transform and unleash a deves
Mana,proper_noun,13,decide,,pending,,"A vial of ""Lunar Water"", used to restore one's link to magick. The transmutation of water "
Gauntlets,proper_noun,13,decide,,pending,,Armaean Gauntlets
Helmet,proper_noun,13,decide,,pending,,Armaean Helmet
Angel,proper_noun,13,decide,,pending,,New Angel : Aegis
ButtonText,proper_noun,13,decide,,pending,,{ButtonText}
Knights of ,proper_noun,13,decide,,pending,,"A variant of Crimson Oath armor, bestowed upon Nephilim who take The Keeper's Oath.

Knigh"
Southern Ward,proper_noun,13,decide,,pending,,"Lotte sources the venom from “a guy in the Southern Ward.” He doesn’t ask, you shouldn’t e"
Soul Energy,proper_noun,13,decide,,pending,,"Dear Archbishop Dorion, I’ve written to you to follow up on our discussion at Felwyl’s din"
Infernal Legion,proper_noun,13,decide,,pending,,"Finally, at long last, all the pieces are falling into place. We have access to all 3 Ston"
Angelic Grace,proper_noun,12,decide,,pending,,<Header>Angelic Grace</>
Unlock,proper_noun,12,decide,,pending,,Acquire Two Abraxas Stones to Unlock.
The Dry Rot King,proper_noun,12,decide,,pending,,Defeat The Dry Rot King 
Warden,proper_noun,12,decide,,pending,,Defeat the Warden 
Forsaken Streets,proper_noun,12,decide,,pending,,The Forsaken Streets
Armaea,proper_noun,12,decide,,pending,,"A cuirass designed for the Champions of Litinstang.

The city state of Litinstang in south"
The Oath,proper_noun,12,decide,,pending,,"A variant of Crimson Oath Armor, bestowed upon Nephilim who take The Oath of the Moonlight"
Cuirass,proper_noun,12,decide,,pending,,Apostate Cuirass
Nachtendale,proper_noun,12,decide,,pending,,"Cuirass belonging to the Sentries of Nachtendale's Sovereign.

Nachtendale has been the mo"
In,proper_noun,12,decide,,pending,,Named in honor of a revenant spirit who stood in protection over the crypts of Gildeus lon
Perdition,proper_noun,12,decide,,pending,,"Mahkteah, The Lord of Perdition"
Shoreditch,proper_noun,12,decide,,pending,,"Like myself, the Akyrians who occupy these halls show a callous disregard for human life, "
Skulls,proper_noun,12,decide,,pending,,Kill Felwyl The Ascended on 3 Skulls.
Max Health,proper_noun,11,decide,,pending,,+10 Max Health
Max Mana,proper_noun,11,decide,,pending,,+3 Max Mana
Loadout,proper_noun,11,decide,,pending,,<Header>Loadout</>
Quest,proper_noun,11,decide,,pending,,Bounty Quest: Death Knights
Archspire Chapter,proper_noun,11,decide,,pending,,An inquisition? Has the Cardinal lost his mind? You don't need to convince me that this cu
The Holy Lineage,proper_noun,11,decide,,pending,,I am unable to rest easy with this talk of Infernal Magick circulating among the others. W
Max Stamina,proper_noun,10,decide,,pending,,+3 Max Stamina
Light Attack,proper_noun,10,decide,,pending,,<Header>Light Attack</>
Flask,proper_noun,10,decide,,pending,,Blue Flask
Moore Manor,proper_noun,10,decide,,pending,,Complete Moore Manor to Unlock.
Boss,proper_noun,10,decide,,pending,,Dragon Boss
Shoreditch Prison,proper_noun,10,decide,,pending,,Complete Shoreditch Prison
Lunarin's,proper_noun,10,decide,,pending,,"Cuirass of the Lunar Sentinel

No symbol is more harrowing to the Lunitarian faith than th"
Dead God,proper_noun,10,decide,,pending,,Gauntlets forged specifically to battle the Lord of Perdition. You'll need a strong grip o
Stones,proper_noun,10,decide,,pending,,Abraxas Stones & Plot
Dead Gods,proper_noun,10,decide,,pending,,"Before you are the Abraxas Stones, that bind the souls of powerful beings known as the Dea"
Throne,proper_noun,10,decide,,pending,,"- The Holy Phases -

New Moon: Cleansing. Quiet Renewal and Planning.

Waxing: Celebration"
Legion,proper_noun,10,decide,,pending,,"Fewyl, the manor and the city is now yours as was promised. I will remain in the Spire ove"
Velchorian,proper_noun,10,decide,,pending,,The South Bed. Asters opened on the eleventh of the Fifth Month. Last year was the twentie
Statement,proper_noun,10,decide,,pending,,"Last Updated: February 3, 2026

Your privacy is important to us. This Privacy Statement (“"
Undead Captains,proper_noun,9,decide,,pending,,A Bounty for Undead Captains
Grace,proper_noun,9,decide,,pending,,Angelic Grace
The Area,proper_noun,9,decide,,pending,,Clear The Area
Weapon,proper_noun,9,decide,,pending,,Cursed Weapon
Table,proper_noun,9,decide,,pending,,War Table
Weapon Art,proper_noun,9,decide,,pending,,"You have a Weapon Art. Use <IA_WeaponArts_Option1/> to unleash it.

Weapon Arts cost Mana."
Frame Generation,proper_noun,9,decide,,pending,,DLSS Frame Generation
Litinstang,proper_noun,9,decide,,pending,,"A cuirass designed for the Champions of Litinstang.

The city state of Litinstang in south"
Paladins,proper_noun,9,decide,,pending,,"A variant of Crimson Oath Armor, bestowed upon Nephilim who take The Oath of the Moonlight"
Lunar Sentinels,proper_noun,9,decide,,pending,,"An intimidating cuirass forged for the Sanctus Zealot. 

Legend tells of the first interfa"
Rite of Desolation,proper_noun,9,decide,,pending,,"Cuirass belonging to the Sentries of Nachtendale's Sovereign.

Nachtendale has been the mo"
Lunar Sentinel,proper_noun,9,decide,,pending,,"Cuirass of the Lunar Sentinel

No symbol is more harrowing to the Lunitarian faith than th"
He,proper_noun,9,decide,,pending,,"Lotte sources the venom from “a guy in the Southern Ward.” He doesn’t ask, you shouldn’t e"
Lunitarians,proper_noun,9,decide,,pending,,"- The Holy Phases -

New Moon: Cleansing. Quiet Renewal and Planning.

Waxing: Celebration"
Gala,proper_noun,9,decide,,pending,,"Asher,

The bolt on my study door is a brass thing of poor manufacture, three-pin tumbler,"
Cain,proper_noun,9,decide,,pending,,"Clan Telvaught:

Guild of Academics and Archaeologists. Led by Professor Peter Garrus Telv"
Coil,proper_noun,9,decide,,pending,,"Dear Archbishop Dorion, I’ve written to you to follow up on our discussion at Felwyl’s din"
Entry,proper_noun,9,decide,,pending,,Diary Entry.
Archbishop,proper_noun,9,decide,,pending,,I’ve returned from the company’s dinner. My efforts to influence the Archbishop have been 
Legendary Scraps,proper_noun,9,decide,,pending,,Collect Legendary Scraps across Gildenarch.
Feral Vampires,proper_noun,8,decide,,pending,,A Bounty for Feral Vampires
Anima,proper_noun,8,decide,,pending,,"A calcified cluster of Anima, often mistaken for a simple stone. This rock brims with life"
Relics,proper_noun,8,decide,,pending,,Collect Relics
Oath Cuirass,proper_noun,8,decide,,pending,,Divine Oath Cuirass
Oath Gauntlets,proper_noun,8,decide,,pending,,Divine Oath Gauntlets
Oath Greaves,proper_noun,8,decide,,pending,,Divine Oath Greaves
Oath Helmet,proper_noun,8,decide,,pending,,Divine Oath Helmet
No,proper_noun,8,decide,,pending,,Do you want to apply these changes? Selecting No will restore previous settings.
St,proper_noun,8,decide,,pending,,Key to the St. Lucious Graveyard House.
Attributes,proper_noun,8,decide,,pending,,Player Attributes
Ward,proper_noun,8,decide,,pending,,Southern Ward
Lives,proper_noun,8,decide,,pending,,Starting Lives +1
Infernal Flora,proper_noun,8,decide,,pending,,The Shepherds have returned with another haul of cattle from the surface. In accordance wi
Please,proper_noun,8,decide,,pending,,"Welcome to our Hub location. 

Please note that this space is still very early in developm"
Mahkteah's,proper_noun,8,decide,,pending,,A cuirass forged specifically to withstand the punishing blows of the Lord of Perdition. A
Moonlight,proper_noun,8,decide,,pending,,"A variant of Crimson Oath Armor, bestowed upon Nephilim who take The Oath of the Moonlight"
Oath of ,proper_noun,8,decide,,pending,,"A variant of Crimson Oath Armor, bestowed upon Nephilim who take The Oath of the Moonlight"
Order of ,proper_noun,8,decide,,pending,,Crude gauntlets worn by Nephilim Apostates. Designed to invert and mock the Order of the C
Gildeus,proper_noun,8,decide,,pending,,Named in honor of a revenant spirit who stood in protection over the crypts of Gildeus lon
Note,proper_noun,8,decide,,pending,,Bloody Note
Abyss,proper_noun,8,decide,,pending,,"In the hunt for Aegoroth, Eye of the Abyss, I grow closer. A resident from the Inn claims "
Academy,proper_noun,8,decide,,pending,,"Krytori, you’ve been relieved of your post. The demons will handle the castle town outside"
Challenge,proper_noun,8,decide,,pending,,Complete Challenge: Cardinal Mathias
Shield,proper_noun,8,decide,,pending,,Apostate's Shield
Undead,proper_noun,8,decide,,pending,,Abominations and Undead detected.
Knights,proper_noun,8,decide,,pending,,Death Knights.
Sanctus Clypeus,proper_noun,7,decide,,pending,,(HOLD) Return to Sanctus Clypeus
Death Knights,proper_noun,7,decide,,pending,,A Bounty for Death Knights
Undead Brutes,proper_noun,7,decide,,pending,,A Bounty for Undead Brutes
Infernus,proper_noun,7,decide,,pending,,An invasive red flower native to the infernal realm. In the years since Spire's activation
Mahkteah,proper_noun,7,decide,,pending,,Defeat Mahkteah
Alexander,proper_noun,7,decide,,pending,,Gallant Alexander
Cost,proper_noun,7,decide,,pending,,Mana Cost
Health Flask,proper_noun,7,decide,,pending,,More to Upgrade to Health Flask
Items,proper_noun,7,decide,,pending,,Purified Items discovered 
Shepherds,proper_noun,7,decide,,pending,,The Shepherds have returned with another haul of cattle from the surface. In accordance wi
Blacksmith Items,proper_noun,7,decide,,pending,,Unlocked: Blacksmith Items - Lvl 10
Merchant Items,proper_noun,7,decide,,pending,,Unlocked: Merchant Items - Lvl 2
Demiurge,proper_noun,7,decide,,pending,,"A cumbersome helmet, sure to strain the necks of mortal men, designed to protect a Nephili"
The Order,proper_noun,7,decide,,pending,,Specially crafted cuirass designed for Nephilim in service to the Knights of the Crimson M
Charge,proper_noun,7,decide,,pending,,Frostbound Charge
Fallen,proper_noun,7,decide,,pending,,Trial of the Fallen
Demons,proper_noun,7,decide,,pending,,"A theory so bizarre it may at least hold a glimmer of truth. Allegedly, one of the Archspi"
Inquisition,proper_noun,7,decide,,pending,,"Finally, at long last, all the pieces are falling into place. We have access to all 3 Ston"
Eye of ,proper_noun,7,decide,,pending,,"In the hunt for Aegoroth, Eye of the Abyss, I grow closer. A resident from the Inn claims "
Mahkteah The Lord,proper_noun,7,decide,,pending,,Acquire lore on Mahkteah The Lord of Perdition.
Divine Ember,proper_noun,7,decide,,pending,,Acquire the Divine Ember.
Tyrigon,proper_noun,7,decide,,pending,,Complete Challenge: Tyrigon
Crescent Tags,proper_noun,7,decide,,pending,,Find the Crescent Tags of the Fallen Crusaders.
Privacy Statement,proper_noun,7,decide,,pending,,I accept the End User License Agreement and understand ProbablyMonsters’ Privacy Statement
Gajov's,proper_noun,7,decide,,pending,,"Come, enjoy Gajov's forge."
Objective Text,proper_noun,6,decide,,pending,,Active Objective Text
Ascension,proper_noun,6,decide,,pending,,Angel Ascension
Quality,proper_noun,6,decide,,pending,,Auto Quality
Notes,proper_noun,6,decide,,pending,,Build Notes
Boon,proper_noun,6,decide,,pending,,Buy Boon
Tome,proper_noun,6,decide,,pending,,Collect Tome
Knight Terrors,proper_noun,6,decide,,pending,,Complete: Knight Terrors.
Save,proper_noun,6,decide,,pending,,Delete Save
Glory,proper_noun,6,decide,,pending,,Elixir of Glory
Hellrift,proper_noun,6,decide,,pending,,Enter the Hellrift 
But,proper_noun,6,decide,,pending,,"Fetched these off a marauder's pack.  They're not fancy - big hefty shotputs, they are, an"
Online,proper_noun,6,decide,,pending,,Join Online
Online Game,proper_noun,6,decide,,pending,,Join Online Game
Paladin,proper_noun,6,decide,,pending,,Phoenix Paladin
Item,proper_noun,6,decide,,pending,,Purify Item
Offline Game,proper_noun,6,decide,,pending,,Start Offline Game
Resolution,proper_noun,6,decide,,pending,,Texture Resolution
Should,proper_noun,6,decide,,pending,,The Shepherds have returned with another haul of cattle from the surface. In accordance wi
Corruption,proper_noun,6,decide,,pending,,World Corruption 0
Weapon Arts,proper_noun,6,decide,,pending,,"You have a Weapon Art. Use <IA_WeaponArts_Option1/> to unleash it.

Weapon Arts cost Mana."
Streamline,proper_noun,6,decide,,pending,,The Operating System is outdated. The Streamline feature requires a supported operating sy
Intel,proper_noun,6,decide,,pending,,Failed to initialize Intel® Xe Low Latency. This feature requires D3D12 or Vulkan RHI and 
Dragon Assassins,proper_noun,6,decide,,pending,,"A cumbersome cuirass, fit only for the toughest Nephilim, designed to stand against a drag"
There,proper_noun,6,decide,,pending,,"A cumbersome helmet, sure to strain the necks of mortal men, designed to protect a Nephili"
Sovereign Sentries,proper_noun,6,decide,,pending,,"Cuirass belonging to the Sentries of Nachtendale's Sovereign.

Nachtendale has been the mo"
Physical Damage,proper_noun,6,decide,,pending,,+5% Physical Damage per 1000 Souls held (max +50%).
Target,proper_noun,6,decide,,pending,,"After 3 hits on a single Target within 3 seconds, you gain Rage."
Kill,proper_noun,6,decide,,pending,,"When you Kill an enemy, all enemies within 7 meters of you suffer Sunderance."
Sprint Attack,proper_noun,6,decide,,pending,,"When you hit an enemy with a Sprint Attack, they take 1000 Bleed."
To,proper_noun,6,decide,,pending,,"Before you are the Abraxas Stones, that bind the souls of powerful beings known as the Dea"
Armory,proper_noun,6,decide,,pending,,"Once your business in the Armory is completed, proceed through the portal to begin your Ru"
Drakes,proper_noun,6,decide,,pending,,"Under the Inquisition Act of 760, this property has been temporarily seized by the Archspi"
So,proper_noun,6,decide,,pending,,"
The Scribe’s disciplinary action has kept me from a night’s rest for some time. I pored o"
Sentinels,proper_noun,6,decide,,pending,,"A leather bound journal detailing a broken translation of the ""Last Will and Testament of "
She,proper_noun,6,decide,,pending,,Day 1 — Subject seventeen takes the seed without protest. Felwyl says the willing ones blo
Lord,proper_noun,6,decide,,pending,,"I have a strange paralysis. Like I don’t know where to start. 
It tingles really as it tak"
Cain's,proper_noun,6,decide,,pending,,Our lord's Gala in Elk Grove Academy is tonight. We must prepare to cleanse the mortal fil
General Valahk-Nor,proper_noun,6,decide,,pending,,"Sending 8 persons
3 Men 
5 Women
2 Men uninfected
1 partially infected
3 Women fully uninf"
Artifacts,proper_noun,6,decide,,pending,,"Siron, excuse my apparent lack of enthusiasm for our esteemed philanthropist at the gather"
Elite Cultists,proper_noun,6,decide,,pending,,Complete: Elite Cultists
Lotte's,proper_noun,6,decide,,pending,,Find Lotte's missing locket.
Merchant's,proper_noun,6,decide,,pending,,Search the Archspire Cathedral for the Merchant's missing locket and retrieve it for him.
Vessel's Soul,proper_noun,6,decide,,pending,,Speak to Gajov about forging a weapon from the Vessel's Soul.
Vessel,proper_noun,6,decide,,pending,,Speak to Gajov about the Vessel.
Service,proper_noun,6,decide,,pending,,"Last Updated: February 3, 2026

Your privacy is important to us. This Privacy Statement (“"
Platform Terms,proper_noun,6,decide,,pending,,YOU MUST BE OVER THE AGE OF 18 YEARS OR THE AGE OF MAJORITY IN THE COUNTRY OR STATE IN WHI
PlayStation,proper_noun,6,decide,,pending,,YOU MUST BE OVER THE AGE OF 18 YEARS OR THE AGE OF MAJORITY IN THE COUNTRY OR STATE IN WHI
Arbitration,proper_noun,6,decide,,pending,,YOU MUST BE OVER THE AGE OF 18 YEARS OR THE AGE OF MAJORITY IN THE COUNTRY OR STATE IN WHI
Forged,proper_noun,6,decide,,pending,,"A round aegis of gold and silver, two phoenix wings spread around a central sunburst.

For"
Soul Siphon,proper_noun,6,decide,,pending,,"Nephilim, a moment. I must confess. Since the Soul Siphon, I've felt part of me slowly mer"
Fire Damage,proper_noun,5,decide,,pending,,+3 Fire Damage
Collection,proper_noun,5,decide,,pending,,<Header>Collection</>
Bounty,proper_noun,5,decide,,pending,,A Bounty for Death Knights
Last Light,proper_noun,5,decide,,pending,,A ring granting the Last Light
Seal of Flame,proper_noun,5,decide,,pending,,A ring granting the Seal of Flame and Scorching Verdict Boons.
Flame,proper_noun,5,decide,,pending,,A ring granting the Trial by Flame and Last Light boons.
Spire's,proper_noun,5,decide,,pending,,An invasive red flower native to the infernal realm. In the years since Spire's activation
Calcified Anima,proper_noun,5,decide,,pending,,"An unstable mote of Calcified Anima, burns hot to the touch. This rock radiates with life "
Elite,proper_noun,5,decide,,pending,,Burgundian Elite
Sensitivity,proper_noun,5,decide,,pending,,Camera Sensitivity
Difficulty,proper_noun,5,decide,,pending,,Challenging Difficulty
Mission,proper_noun,5,decide,,pending,,Choose a Mission
Crown,proper_noun,5,decide,,pending,,Collect Crown
Treveyan Highlands,proper_noun,5,decide,,pending,,Common herbs found within the Treveyan Highlands that are used in various alchemical and c
Bloom,proper_noun,5,decide,,pending,,"Controls visual effects like Depth of Field, Bloom, and Color Grading. Higher settings imp"
Egregore,proper_noun,5,decide,,pending,,Defeat the Egregore 
Variant,proper_noun,5,decide,,pending,,Enemy Variant: Bleed
Fire,proper_noun,5,decide,,pending,,Enemy Variant: Fire
Code,proper_noun,5,decide,,pending,,Enter Code
Length,proper_noun,5,decide,,pending,,Focal Length
Knight Gauntlets,proper_noun,5,decide,,pending,,Haedrik Knight Gauntlets
Knight Greaves,proper_noun,5,decide,,pending,,Haedrik Knight Greaves
Knight Helmet,proper_noun,5,decide,,pending,,Haedrik Knight Helmet
Elixir,proper_noun,5,decide,,pending,,Hardening Elixir
Pawn,proper_noun,5,decide,,pending,,Hero Pawn
Boons,proper_noun,5,decide,,pending,,Librarian Boons
Ring,proper_noun,5,decide,,pending,,Lotte's Ring
Route Option Unlocked,proper_noun,5,decide,,pending,,New Route Option Unlocked
State,proper_noun,5,decide,,pending,,Other State
Sword,proper_noun,5,decide,,pending,,Ring of Sword
Quality Mode,proper_noun,5,decide,,pending,,Select the desired upscaler Quality Mode.
Consumable,proper_noun,5,decide,,pending,,Use Consumable
GeForce,proper_noun,5,decide,,pending,,Frame Generation boosts frame rates by using AI to render additional frames. 2X is support
Time,proper_noun,5,decide,,pending,,Platform Not Supported At Build Time
Keep,proper_noun,5,decide,,pending,,Ramshorn Keep
Acktin,proper_noun,5,decide,,pending,,"A distinct red helmet belonging the Vermillion Knight of Belwayne.

The Alemendral's eldes"
Nachtstahl Steel Mills,proper_noun,5,decide,,pending,,A gorgeous winged helmet worn by Belwayne's fierce defenders. Adorned in their phoenix her
Illuminar,proper_noun,5,decide,,pending,,"A variant of Crimson Oath armor, bestowed upon Nephilim who take The Oath of the Divine.

"
Bleeding,proper_noun,5,decide,,pending,,Backstab inflicts Bleeding.
Strike,proper_noun,5,decide,,pending,,Graceful Strike
In the ,proper_noun,5,decide,,pending,,"
The Scribe’s disciplinary action has kept me from a night’s rest for some time. I pored o"
Solomon Moore,proper_noun,5,decide,,pending,,4 years after Nachtstahl Steel Mills moved into the old Red Dog District we’ve seen the co
Magda,proper_noun,5,decide,,pending,,"Alright, Toby, if you’re reading this, then you’ve gotten the key I slipped ya in the meal"
Hux,proper_noun,5,decide,,pending,,"Alright, Toby, if you’re reading this, then you’ve gotten the key I slipped ya in the meal"
Master Felwyl,proper_noun,5,decide,,pending,,"Asher,

The bolt on my study door is a brass thing of poor manufacture, three-pin tumbler,"
Elk Grove,proper_noun,5,decide,,pending,,"Asher,

The bolt on my study door is a brass thing of poor manufacture, three-pin tumbler,"
Renault,proper_noun,5,decide,,pending,,"At last we have results! It’s taken much longer and more bodies…than I’d have liked, but t"
My,proper_noun,5,decide,,pending,,"At last we have results! It’s taken much longer and more bodies…than I’d have liked, but t"
If,proper_noun,5,decide,,pending,,"Forgive me. I hope you live to see this, but I could not wait. 

If you are reading this, "
War of ,proper_noun,5,decide,,pending,,"He was the god of war, and he wanted nothing else but to be in conflict with a blade in hi"
Gods,proper_noun,5,decide,,pending,,"He was the god of war, and he wanted nothing else but to be in conflict with a blade in hi"
Where,proper_noun,5,decide,,pending,,"I have a strange paralysis. Like I don’t know where to start. 
It tingles really as it tak"
Red Bloom,proper_noun,5,decide,,pending,,"Lord Felwyl,
Sincerest apologies my Lord, as I know you are very busy. Very busy, indeed. "
Velchorian Empire,proper_noun,5,decide,,pending,,"Preamble

In the name of Lunarin, our Holy Divine, and the joint authorities of The Holy L"
Gallant Alexander,proper_noun,5,decide,,pending,,"Preamble

In the name of Lunarin, our Holy Divine, and the joint authorities of The Holy L"
Felwyl The Withered,proper_noun,5,decide,,pending,,Complete Challenge: Felwyl The Withered
The Warden,proper_noun,5,decide,,pending,,Complete Challenge: The Warden
Demon Brutes,proper_noun,5,decide,,pending,,Complete: Demon Brutes
Elite Death Knights,proper_noun,5,decide,,pending,,Complete: Elite Death Knights
Elite Demon Imps,proper_noun,5,decide,,pending,,Complete: Elite Demon Imps
Elite Knight Terrors,proper_noun,5,decide,,pending,,Complete: Elite Knight Terrors
Elite Undead Brutes,proper_noun,5,decide,,pending,,Complete: Elite Undead Brutes.
Elite Undead Captains,proper_noun,5,decide,,pending,,Complete: Elite Undead Captains
Felwyl The Ascended,proper_noun,5,decide,,pending,,Defeat Felwyl The Ascended.
Cultists,proper_noun,5,decide,,pending,,Kill Cultists.
End User License Agreement,proper_noun,5,decide,,pending,,I accept the End User License Agreement and understand ProbablyMonsters’ Privacy Statement
United States,proper_noun,5,decide,,pending,,"Last Updated: February 3, 2026

Your privacy is important to us. This Privacy Statement (“"
Vodor,proper_noun,5,decide,,pending,,Totem of Vodor
Eden's,proper_noun,5,decide,,pending,,"A long-hafted halberd carried by the foot soldiers of Eden's vampire clans.

The blades ar"
Behemoth,proper_noun,4,decide,,pending,,"""Behemoth, Behemoth, Behemoth"""
Store,proper_noun,4,decide,,pending,,(HOLD) Store
Max Lives,proper_noun,4,decide,,pending,,+1 Max Lives
Duration,proper_noun,4,decide,,pending,,0:{Duration}
Bounty Quests,proper_noun,4,decide,,pending,,<Header>Bounty Quests</>
Hall of Valor,proper_noun,4,decide,,pending,,<Header>Hall of Valor</>
Look,proper_noun,4,decide,,pending,,<Header>Move and Look</>
Aegis of Frost,proper_noun,4,decide,,pending,,A ring granting the Aegis of Frost and Guard of Grace boons.
Scorching Verdict,proper_noun,4,decide,,pending,,A ring granting the Brand of Judgement and Scorching Verdict boons.
Chalice of Conquest,proper_noun,4,decide,,pending,,A ring granting the Chalice of Conquest and Hunter's Strike boons.
Hunter's Strike,proper_noun,4,decide,,pending,,A ring granting the Chalice of Conquest and Hunter's Strike boons.
Divine Focus,proper_noun,4,decide,,pending,,A ring granting the Divine Focus and Frostbrand Seal boons.
